Title,Joy,Love,Anger,Surprise,Sadness,Fear,Protagonist Roles,Time Period,Dominant Time of Day,Genres
Arbitrage,0.5727869957259759,0.6142095959003271,0.1930509799688968,0.2658211049837463,0.0070793558177536,0.4765059199245141,Traveller/Explorer,Past,Daytime,"['Drama', 'Thriller']"
Arcade,0.6092869851270715,0.6818402290667316,0.0096019075726682,0.0302934053237003,0.3934298538014623,0.1055846808325095,Realist,Future,Nighttime,['Sci-Fi']
Arctic Blue,0.1227361636607656,0.4992951356626838,0.1767771980546911,0.3682741895830446,0.881987215108198,0.6255888290363634,Creature/Royalty/Knight/Sorcerer,Future,Daytime,"['Action', 'Thriller']"
Argo,0.5638251852334345,0.7537540850379283,0.3177520038039736,0.0742002331649828,0.2183246798205544,0.2146894216368928,Realist,Past,Daytime,"['Drama', 'Thriller']"
Armageddon,0.7404377516154637,0.6264348130466209,0.3938565517204654,0.370833896884181,0.1227047975991326,0.0125058535076671,Fighter,Past,Daytime,"['Action', 'Sci-Fi', 'Thriller']"
Army of Darkness,0.327602036921567,0.3640595974230479,0.4504501638512368,0.3780979154026332,0.8323111079000327,0.9838947347312093,Realist,Past,Daytime,"['Horror', 'Fantasy', 'Comedy', 'Action', 'Adventure']"
Arsenic and Old Lace,0.5399411905701701,0.6663905758984583,0.1901887807271242,0.4870206594745089,0.0856118072380483,0.170660996087815,Traveller/Explorer,Past,Nighttime,"['Crime', 'Comedy']"
Arthur,0.8059491020459155,0.6160582912308508,0.0719650084931345,0.1107790722154899,0.1472057419774423,0.0987344554467032,Traveller/Explorer,Past,Daytime,['Comedy']
As Good As It Gets,0.7055648903134206,0.6336350303212849,0.3464711713036092,0.1587986316435641,0.215410454230747,0.2643385121977705,Soldier,Present,Daytime,"['Comedy', 'Drama', 'Romance']"
Assassins,0.9594021475568068,0.5611451274934132,0.3964243328933771,0.2107967106589537,0.2406809694360931,0.2871083273018301,Realist,Past,Daytime,"['Action', 'Thriller']"
At First Sight,0.7305809842683473,0.64952588666172,0.1690670633763351,0.0805722000196406,0.3572955792250785,0.4196625590505357,Child,Past,Daytime,['Drama']
August Osage County,0.9270519152053672,0.8518121951065921,0.2938811630869108,0.1003812300427582,0.1139093156535323,0.4372860020864575,Creature/Royalty/Knight/Sorcerer,Past,Daytime,['Drama']
Austin Powers - International Man of Mystery,0.0325039334816423,0.4229687287773911,0.208259074121894,0.4700688023052577,0.5196528834932427,0.5538806755302059,Fighter,Past,Daytime,"['Comedy', 'Action']"
Austin Powers - The Spy Who Shagged Me,0.3018680167340117,0.3216727013848418,0.4406046184514295,0.2275059151745019,0.5501792645768185,0.8546297328278332,Creature/Royalty/Knight/Sorcerer,Past,Daytime,"['Comedy', 'Action']"
